,X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2,RA,DEC
1148,2833.0986943836897,896.1881263337864,34.2,1,27.806,0.074,14.6,-0.043,0.389,0,26.148000000000003,0.038,28.7,-0.026,0.406,0,54.711215058714906,-35.58473828036164
1149,3326.148049618662,1259.2508387551693,43.3,1,27.498,0.049,22.4,-0.109,0.2289999999999999,0,26.107,0.031,35.3,0.036,0.3389999999999999,0,54.70272097157158,-35.58969866006389
1150,3088.1933950396783,1198.139144737471,41.7,1,27.522,0.051,21.5,0.078,0.086,0,26.122,0.032,34.0,-0.136,0.126,0,54.70496655839986,-35.58681628216787
1151,3762.486272015263,419.8671548339192,18.0,1,27.606,0.109,9.9,-0.142,0.29,0,26.509,0.095,11.5,-0.113,0.449,0,54.71406301817101,-35.59905689885807
1152,3049.330329256813,1098.8791692566317,33.0,1,28.486,0.131,8.3,0.019,0.25,0,26.152,0.036,29.8,-0.031,0.187,0,54.70678381818825,-35.58672771193494
1153,3620.374687341944,501.75574374913344,14.3,1,27.244,0.105,10.3,-0.077,0.086,0,26.879,0.177,6.1,0.231,0.256,0,54.7134803360487,-35.59682870671396
1154,2645.887139352541,37.53952806109682,32.6,1,27.265,0.04,27.3,-0.05,0.198,0,26.216,0.076,14.3,-0.04,0.4039999999999999,0,54.72615100031669,-35.58593886603051
1155,3400.804583273755,1011.2022717295084,29.3,1,28.103,0.107,10.1,0.161,0.363,0,26.147,0.043,25.2,0.0969999999999999,0.363,0,54.706358195570765,-35.5917469710746
1156,2676.156353505808,269.5789869766182,36.7,1,27.592,0.059,18.4,-0.141,0.19,0,26.107,0.036,30.0,-0.057,0.27,0,54.72222161809942,-35.58534607485554
1157,3800.6143295280754,178.37827398144955,22.0,1,27.449,0.083,13.0,0.215,0.215,0,26.419,0.075,14.4,0.006,0.309,0,54.717786605104045,-35.600594139301336
1158,2772.704229319552,748.7181415537111,33.1,1,27.782,0.074,14.6,0.181,0.215,0,26.135,0.04,27.3,-0.03,0.237,0,54.713928845725974,-35.58457145130015
1159,2750.918526287136,829.4276953060954,36.8,1,27.441,0.053,20.6,-0.148,0.143,0,26.164,0.038,28.7,-0.068,0.2239999999999999,0,54.71273220799927,-35.583938172219995
1160,3805.9886693703393,54.1987358250132,20.1,1,27.458,0.074,14.6,-0.0139999999999999,0.2339999999999999,0,25.954,0.09,12.1,-0.128,0.303,0,54.719776318946124,-35.60119652921824
1161,2918.8980104262773,266.4109360722737,25.4,1,27.356,0.069,15.7,0.206,0.165,0,26.341,0.062,17.4,-0.107,0.482,0,54.72099593636336,-35.58856707012679
1162,2567.6831710655906,1021.01558575139,44.4,1,27.533,0.047,23.1,-0.062,0.151,0,26.149,0.03,35.8,-0.123,0.228,0,54.710583891645896,-35.58069708274712
1163,2444.5803580841475,409.6266652727188,42.0,1,27.867,0.064,16.9,-0.0139999999999999,0.1119999999999999,0,26.104,0.0289999999999999,37.2,-0.153,0.155,0,54.721164578682966,-35.5816869457323
1164,3918.58391450686,712.6674135694384,24.6,1,27.865,0.182,6.0,0.1639999999999999,0.302,0,26.261,0.047,22.9,-0.033,0.36,0,54.70848334367416,-35.5998661890099
1165,2125.053596382864,1144.931633104867,53.9,1,27.717,0.044,24.8,-0.1639999999999999,0.122,0,26.092,0.024,45.9,-0.047,0.132,0,54.7109001781087,-35.574318270370625
1166,3806.356094960131,1129.4551113191687,41.1,1,27.601,0.054,20.1,-0.024,0.2269999999999999,0,26.153,0.033,33.1,-0.049,0.348,0,54.70230165377619,-35.59659913049316
